Z,N,A,B_k_p,B_k_n,B_k_tot,dB_k,f_p,f_n,partial_idx,S_dom,coul_idx,BindingEnergy,E_exp,E_pred,Residual
12,23,35,22,91,113,-69,0.4,0.35714285714285715,0.28755102040816327,4,33.0,256.816374,256.816374,305.0923995874806,48.2760255874806
12,24,36,22,100,122,-78,0.4,0.42857142857142855,0.3436734693877551,4,33.0,260.267484,260.267484,312.8749254015052,52.607441401505184
12,25,37,22,109,131,-87,0.4,0.5,0.41000000000000003,4,33.0,260.150969,260.150969,320.484945224558,60.333976224558
13,8,21,26,6,32,20,0.5,1.0,1.25,3,52.0,133.208268,133.208268,168.9215453296552,35.7132773296552
13,9,22,26,10,36,16,0.5,0.1,0.26,3,52.0,149.215922,149.215922,194.45500034391534,45.23907834391534
13,10,23,26,14,40,12,0.5,0.2,0.29000000000000004,3,52.0,168.702708,168.702708,202.74475650063496,34.04204850063496
13,11,24,26,18,44,8,0.5,0.3,0.33999999999999997,3,52.0,183.596295,183.596295,210.69640091504985,27.100105915049852
13,12,25,26,22,48,4,0.5,0.4,0.41000000000000003,3,52.0,200.528364,200.528364,218.30993358716003,17.78156958716002
13,13,26,26,26,52,0,0.5,0.5,0.5,3,52.0,211.894325,211.894325,225.58535451696548,13.691029516965472
13,14,27,26,30,56,-4,0.5,0.6,0.61,3,52.0,224.952141,224.952141,232.52266370446617,7.570522704466157
13,15,28,26,34,60,-8,0.5,0.7,0.74,3,52.0,232.677189,232.677189,239.1218611496622,6.44467214966221
13,16,29,26,38,64,-12,0.5,0.8,0.8900000000000001,3,52.0,242.113504,242.113504,245.3829468525535,3.2694428525534818
13,17,30,26,42,68,-16,0.5,0.9,1.06,3,52.0,247.841931,247.841931,251.30592081314006,3.463989813140074
13,18,31,26,46,72,-20,0.5,1.0,1.25,3,52.0,254.994799,254.994799,256.89078303142196,1.8959840314219605
13,19,32,26,55,81,-29,0.5,0.07142857142857142,0.25510204081632654,4,39.0,259.178063,259.178063,279.82301470156494,20.644951701564935
13,20,33,26,64,90,-38,0.5,0.14285714285714285,0.27040816326530615,4,39.0,264.687775,264.687775,288.29556447947664,23.60778947947665
13,21,34,26,73,99,-47,0.5,0.21428571428571427,0.29591836734693877,4,39.0,267.114241,267.114241,296.59560826641666,29.48136726641667
13,22,35,26,82,108,-56,0.5,0.2857142857142857,0.33163265306122447,4,39.0,272.381764,272.381764,304.7231460623848,32.34138206238481
13,23,36,26,91,117,-65,0.5,0.35714285714285715,0.37755102040816324,4,39.0,274.482207,274.482207,312.6781778673812,38.19597086738116
13,24,37,26,100,126,-74,0.5,0.42857142857142855,0.4336734693877551,4,39.0,278.86481,278.86481,320.4607036814058,41.59589368140581
13,25,38,26,109,135,-83,0.5,0.5,0.5,4,39.0,280.797584,280.797584,328.07072350445856,47.273139504458584
13,26,39,26,118,144,-92,0.5,0.5714285714285714,0.5765306122448979,4,39.0,284.211433,284.211433,335.50823733653954,51.29680433653954
14,8,22,30,6,36,24,0.6,1.0,1.3599999999999999,3,60.666666666666664,134.451854,134.451854,176.7063218598616,42.25446785986159
14,9,23,30,10,40,20,0.6,0.1,0.37,3,60.666666666666664,150.91594,150.91594,202.23977687412176,51.32383687412175
14,10,24,30,14,44,16,0.6,0.2,0.4,3,60.666666666666664,172.003965,172.003965,210.52953303084138,38.525568030841384
14,11,25,30,18,48,12,0.6,0.3,0.44999999999999996,3,60.666666666666664,187.004674,187.004674,218.48117744525626,31.47650344525627
14,12,26,30,22,52,8,0.6,0.4,0.52,3,60.666666666666664,206.046205,206.046205,226.09471011736642,20.04850511736643
14,13,27,30,26,56,4,0.6,0.5,0.61,3,60.666666666666664,219.357406,219.357406,233.37013104717187,14.01272504717187
14,14,28,30,30,60,0,0.6,0.6,0.72,3,60.666666666666664,236.537092,236.537092,240.30744023467258,3.770348234672582
14,15,29,30,34,64,-4,0.6,0.7,0.8499999999999999,3,60.666666666666664,245.010645,245.010645,246.90663767986862,1.8959926798686126
14,16,30,30,38,68,-8,0.6,0.8,1.0,3,60.666666666666664,255.619823,255.619823,253.16772338275987,-2.4520996172401226
14,17,31,30,42,72,-12,0.6,0.9,1.17,3,60.666666666666664,262.207227,262.207227,259.0906973433465,-3.1165296566534835
14,18,32,30,46,76,-16,0.6,1.0,1.3599999999999999,3,60.666666666666664,271.410473,271.410473,264.67555956162835,-6.734913438371677
14,19,33,30,55,85,-25,0.6,0.07142857142857142,0.3651020408163265,4,45.5,275.89284,275.89284,287.17138936277524,11.278549362775266
14,20,34,30,64,94,-34,0.6,0.14285714285714285,0.38040816326530613,4,45.5,283.428552,283.428552,295.64393914068705,12.215387140687028
14,21,35,30,73,103,-43,0.6,0.21428571428571427,0.40591836734693876,4,45.5,285.907181,285.907181,303.94398292762696,18.036801927626982
14,22,36,30,82,112,-52,0.6,0.2857142857142857,0.44163265306122446,4,45.5,292.01305,292.01305,312.07152072359514,20.05847072359512
14,23,37,30,91,121,-61,0.6,0.35714285714285715,0.4875510204081632,4,45.5,294.206642,294.206642,320.02655252859154,25.81991052859155
14,24,38,30,100,130,-70,0.6,0.42857142857142855,0.5436734693877551,4,45.5,299.50211,299.50211,327.8090783426161,28.306968342616074
14,25,39,30,109,139,-79,0.6,0.5,0.61,4,45.5,301.686387,301.686387,335.4190981656689,33.73271116566889
14,26,40,30,118,148,-88,0.6,0.5714285714285714,0.686530612244898,4,45.5,306.497478,306.497478,342.85661199774984,36.35913399774984
14,27,41,30,127,157,-97,0.6,0.6428571428571429,0.773265306122449,4,45.5,308.141488,308.141488,350.12161983885903,41.98013183885905
15,9,24,34,10,44,24,0.7,0.1,0.49999999999999994,3,70.0,149.979829,149.979829,209.8207191601761,59.840890160176116
15,10,25,34,14,48,20,0.7,0.2,0.5299999999999999,3,70.0,171.175907,171.175907,218.1104753168957,46.93456831689571
15,11,26,34,18,52,16,0.7,0.3,0.58,3,70.0,187.146301,187.146301,226.0621197313106,38.915818731310594
15,12,27,34,22,56,12,0.7,0.4,0.6499999999999999,3,70.0,206.945138,206.945138,233.67565240342074,26.730514403420756
15,13,28,34,26,60,8,0.7,0.5,0.74,3,70.0,221.423278,221.423278,240.9510733332262,19.52779533322618
15,14,29,34,30,64,4,0.7,0.6,0.8499999999999999,3,70.0,239.285165,239.285165,247.8883825207269,8.6032175207269
15,15,30,34,34,68,0,0.7,0.7,0.9799999999999999,3,70.0,250.605166,250.605166,254.48757996592292,3.8824139659229218
15,16,31,34,38,72,-4,0.7,0.8,1.1300000000000001,3,70.0,262.916921,262.916921,260.7486656688142,-2.168255331185776
15,17,32,34,42,76,-8,0.7,0.9,1.3,3,70.0,270.85257,270.85257,266.6716396294008,-4.180930370599242
15,18,33,34,46,80,-12,0.7,1.0,1.49,3,70.0,280.956282,280.956282,272.2565018476826,-8.699780152317373
