Z,N,BindingEnergy
39,47,742.903865
39,48,754.710666
39,49,764.062233
39,50,775.538633
39,51,782.395751
39,52,790.325858
39,53,796.865803
39,54,804.345626
39,55,810.542781
39,56,817.468364
39,57,822.676272
39,58,828.667567
39,59,832.930008
39,60,838.75177
39,61,843.912172
39,62,849.608183
39,63,854.652147
39,64,859.575018
39,65,863.4453
39,66,868.125982
39,67,871.418737
40,39,653.6981
40,40,669.789589
40,41,681.335384
40,42,694.744169
40,43,705.088337
40,44,718.189728
40,45,727.91911
40,46,740.647904
40,47,750.258986
40,48,762.606798
40,49,771.923528
40,50,783.893433
40,51,791.087939
40,52,799.722722
40,53,806.456883
40,54,814.677057
40,55,821.139781
40,56,828.993785
40,57,834.573359
40,58,840.972649
40,59,845.536894
40,60,852.444779
40,61,857.367649
40,62,863.725021
40,63,868.424333
40,64,874.464997
40,65,878.558837
40,66,883.966085
40,67,887.426509
40,68,892.31212
41,40,669.160871
41,41,682.746639
41,42,696.80747
41,43,707.794369
41,44,721.137949
41,45,731.88266
41,46,744.313375
41,47,754.620283
41,48,766.84607
41,49,777.000213
41,50,789.05181
41,51,796.934784
41,52,805.765925
41,53,812.993313
41,54,821.482224
41,55,828.375391
41,56,836.449414
41,57,842.43987
41,58,849.312359
41,59,854.99626
41,60,862.069951
41,61,867.544266
41,62,874.590944
41,63,879.569704
41,64,886.271729
41,65,890.374885
41,66,896.471438
41,67,900.164736
41,68,905.795542
41,69,909.162817
42,41,684.80994
42,42,700.938688
42,43,712.27024
42,44,725.828064
42,45,737.038522
42,46,750.118489
42,47,760.492465
42,48,773.728923
42,49,783.83556
42,50,796.509395
42,51,804.578854
42,52,814.256445
42,53,821.625513
42,54,830.77979
42,55,837.600953
42,56,846.243467
42,57,852.168811
42,58,860.458662
42,59,865.856594
42,60,873.974491
42,61,879.341684
42,62,886.891369
42,63,891.972593
42,64,898.959655
42,65,903.718583
42,66,910.02938
42,67,914.16048
42,68,920.443333
42,69,924.062111
42,70,929.963051
42,71,933.199916
43,42,699.983947
43,43,713.700125
43,44,727.686436
43,45,739.204287
43,46,752.203214
43,47,763.981884
43,48,776.831772
43,49,787.855931
43,50,800.595902
43,51,809.218668
43,52,819.152979
43,53,827.024029
43,54,836.498181
43,55,843.776801
43,56,852.743662
43,57,859.508097
43,58,867.89948
43,59,874.201893
43,60,882.304886
43,61,888.270099
43,62,896.136491
43,63,901.697436
43,64,909.093424
43,65,913.997664
43,66,920.997768
43,67,925.56667
43,68,932.091711
43,69,936.260071
43,70,942.384569
43,71,946.217591
43,72,952.053326
44,43,715.120695
44,44,731.351907
44,45,743.43797
44,46,757.405651
44,47,768.644054
44,48,782.546531
44,49,793.47754
44,50,806.849065
44,51,815.802512
44,52,826.49599
44,53,834.607366
44,54,844.791317
44,55,852.255025
44,56,861.928144
44,57,868.730305
44,58,877.949879
44,59,884.182245
44,60,893.086043
44,61,898.996298
44,62,907.461641
44,63,913.126913
44,64,920.937416
44,65,926.204939
44,66,933.55901
44,67,938.286267
44,68,945.435409
44,69,949.790068
44,70,956.501408
44,71,960.557989
44,72,966.906046
44,73,970.664548
44,74,976.649322
45,44,730.294702
45,45,744.430052
45,46,758.388419
45,47,770.71667
45,48,784.600516
45,49,796.435076
45,50,809.909065
45,51,819.267712
45,52,830.299323
45,53,838.951897
45,54,849.4302
45,55,857.515494
45,56,867.406024
45,57,874.844861
45,58,884.163454
45,59,891.162625
45,60,900.130976
45,61,906.718427
45,62,915.287167
45,63,921.515061
45,64,929.580793
45,65,935.589786
45,66,942.999747
45,67,948.32316
45,68,955.639971
45,69,960.516267
45,70,967.404591
45,71,972.131847
45,72,978.675518
45,73,982.946343
45,74,989.21988
45,75,993.173996
45,76,999.102881
46,45,745.561859
46,46,762.07252
46,47,774.344881
46,48,789.067073
46,49,800.938892
46,50,815.036982
46,51,824.729104
46,52,836.301913
46,53,845.260949
46,54,856.371737
46,55,864.644261
46,56,875.21292
46,57,882.838055
46,58,892.820803
46,59,899.914987
46,60,909.477632
46,61,916.016645
46,62,925.237431
46,63,931.389874
46,64,940.208254
46,65,945.962017
46,66,954.337938
46,67,959.76661
46,68,967.63766
46,69,972.621078
46,70,980.245282
46,71,984.888704
